date,rho,mean_delta_smp,curtailment_mwh,mean_smp_post
2024-01-23,0.1,0.0,0.0,62694.719488577655
2024-01-23,0.2,0.0,0.0,62694.719488577655
2024-01-23,0.3,0.0,0.0,62694.719488577655
2024-01-23,0.5,0.0,0.0,62694.719488577655
2024-02-12,0.1,0.0,0.0,32298.654923131937
2024-02-12,0.2,0.0,0.0,32298.654923131937
2024-02-12,0.3,0.0,0.0,32298.654923131937
2024-02-12,0.5,0.0,0.0,32298.654923131937
2024-03-05,0.1,0.0,0.0,57519.0743873371
2024-03-05,0.2,0.0,0.0,57519.0743873371
2024-03-05,0.3,0.0,0.0,57519.0743873371
2024-03-05,0.5,0.0,0.0,57519.0743873371
2024-05-16,0.1,0.0,0.0,38087.76427121528
2024-05-16,0.2,0.0,0.0,38087.76427121528
2024-05-16,0.3,0.0,0.0,38087.76427121528
2024-05-16,0.5,0.0,0.0,38087.76427121528
2024-05-22,0.1,0.0,0.0,42509.78422229483
2024-05-22,0.2,0.0,0.0,42509.78422229483
2024-05-22,0.3,0.0,0.0,42509.78422229483
2024-05-22,0.5,0.0,0.0,42509.78422229483
2024-06-16,0.1,0.0,0.0,35459.28954899306
2024-06-16,0.2,0.0,0.0,35459.28954899306
2024-06-16,0.3,0.0,0.0,35459.28954899306
2024-06-16,0.5,0.0,0.0,35459.28954899306
2024-06-21,0.1,0.0,0.0,56148.25110834343
2024-06-21,0.2,0.0,0.0,56148.25110834343
2024-06-21,0.3,0.0,0.0,56148.25110834343
2024-06-21,0.5,0.0,0.0,56148.25110834343
2024-08-20,0.1,0.0,0.0,71580.31650729735
2024-08-20,0.2,0.0,0.0,71580.31650729735
2024-08-20,0.3,0.0,0.0,71580.31650729735
2024-08-20,0.5,0.0,0.0,71580.31650729735
2024-09-11,0.1,0.0,0.0,68983.36958351893
2024-09-11,0.2,0.0,0.0,68983.36958351893
2024-09-11,0.3,0.0,0.0,68983.36958351893
2024-09-11,0.5,0.0,0.0,68983.36958351893
2024-10-20,0.1,0.0,0.0,28905.997063222214
2024-10-20,0.2,0.0,0.0,28905.997063222214
2024-10-20,0.3,0.0,0.0,28905.997063222214
2024-10-20,0.5,0.0,0.0,28905.997063222214
2024-10-25,0.1,0.0,0.0,44850.52865646023
2024-10-25,0.2,0.0,0.0,44850.52865646023
2024-10-25,0.3,0.0,0.0,44850.52865646023
2024-10-25,0.5,0.0,0.0,44850.52865646023
2024-12-24,0.1,0.0,0.0,61252.664892954526
2024-12-24,0.2,0.0,0.0,61252.664892954526
2024-12-24,0.3,0.0,0.0,61252.664892954526
2024-12-24,0.5,0.0,0.0,61252.664892954526
