date,scenario,pre_curtailment_mwh,post_curtailment_mwh,reduction_mwh
2024-01-23,Case_A_zero,0.0,0.0,0.0
2024-01-23,Case_B_floor,0.0,0.0,0.0
2024-01-23,Case_C_mixed,0.0,0.0,0.0
2024-01-23,Case_D_conservative,0.0,0.0,0.0
2024-02-12,Case_A_zero,0.0,0.0,0.0
2024-02-12,Case_B_floor,0.0,0.0,0.0
2024-02-12,Case_C_mixed,0.0,0.0,0.0
2024-02-12,Case_D_conservative,0.0,0.0,0.0
2024-03-05,Case_A_zero,0.0,0.0,0.0
2024-03-05,Case_B_floor,0.0,0.0,0.0
2024-03-05,Case_C_mixed,0.0,0.0,0.0
2024-03-05,Case_D_conservative,0.0,0.0,0.0
2024-05-16,Case_A_zero,0.0,0.0,0.0
2024-05-16,Case_B_floor,0.0,0.0,0.0
2024-05-16,Case_C_mixed,0.0,0.0,0.0
2024-05-16,Case_D_conservative,0.0,0.0,0.0
2024-05-22,Case_A_zero,0.0,0.0,0.0
2024-05-22,Case_B_floor,0.0,0.0,0.0
2024-05-22,Case_C_mixed,0.0,0.0,0.0
2024-05-22,Case_D_conservative,0.0,0.0,0.0
2024-06-16,Case_A_zero,0.0,0.0,0.0
2024-06-16,Case_B_floor,0.0,0.0,0.0
2024-06-16,Case_C_mixed,0.0,0.0,0.0
2024-06-16,Case_D_conservative,0.0,0.0,0.0
2024-06-21,Case_A_zero,0.0,0.0,0.0
2024-06-21,Case_B_floor,0.0,0.0,0.0
2024-06-21,Case_C_mixed,0.0,0.0,0.0
2024-06-21,Case_D_conservative,0.0,0.0,0.0
2024-08-20,Case_A_zero,0.0,0.0,0.0
2024-08-20,Case_B_floor,0.0,0.0,0.0
2024-08-20,Case_C_mixed,0.0,0.0,0.0
2024-08-20,Case_D_conservative,0.0,0.0,0.0
2024-09-11,Case_A_zero,0.0,0.0,0.0
2024-09-11,Case_B_floor,0.0,0.0,0.0
2024-09-11,Case_C_mixed,0.0,0.0,0.0
2024-09-11,Case_D_conservative,0.0,0.0,0.0
2024-10-20,Case_A_zero,0.0,0.0,0.0
2024-10-20,Case_B_floor,0.0,0.0,0.0
2024-10-20,Case_C_mixed,0.0,0.0,0.0
2024-10-20,Case_D_conservative,0.0,0.0,0.0
2024-10-25,Case_A_zero,0.0,0.0,0.0
2024-10-25,Case_B_floor,0.0,0.0,0.0
2024-10-25,Case_C_mixed,0.0,0.0,0.0
2024-10-25,Case_D_conservative,0.0,0.0,0.0
2024-12-24,Case_A_zero,0.0,0.0,0.0
2024-12-24,Case_B_floor,0.0,0.0,0.0
2024-12-24,Case_C_mixed,0.0,0.0,0.0
2024-12-24,Case_D_conservative,0.0,0.0,0.0
